Date,Trading Volume
1,"12,958,877"
2,"27,743,041"
3,"23,053,108"
4,"21,931,539"
5,"27,563,658"
6,"21,816,487"
7,"15,900,712"
8,"31,624,876"
9,"29,075,072"
10,"34,670,333"
11,"33,617,491"
12,"28,302,219"
13,"21,781,595"
14,"15,394,394"
15,"30,930,106"
16,"26,053,916"
17,"26,275,696"
18,"24,967,128"
19,"22,315,364"
20,"26,450,433"
21,"17,496,648"
22,"31,671,530"
23,"29,793,314"
24,"27,482,263"
25,"23,974,392"
26,"24,891,823"
27,"22,272,615"
28,"20,961,213"
29,"32,526,601"
30,"33,418,316"
31,"34,121,401"
32,"37,487,174"
33,"26,815,783"
34,"25,251,972"
35,"18,022,595"
36,"30,784,889"
37,"28,429,449"
38,"25,500,138"
39,"17,638,408"
40,"15,871,072"
41,"12,717,789"
42,"13,568,243"
43,"13,171,137"
44,"13,297,840"
45,"20,847,081"
46,"58,546,344"
47,"34,694,455"
48,"28,887,502"
49,"24,095,800"
50,"34,423,050"
51,"35,318,015"
52,"41,474,937"
53,"29,536,406"
54,"26,386,460"
55,"22,888,311"
56,"12,534,900"
57,"26,454,202"
58,"23,329,655"
59,"20,508,696"
60,"24,519,736"
61,"32,222,154"
62,"25,125,494"
63,"19,778,803"
64,"26,084,261"
65,"33,598,780"
66,"33,153,867"
67,"41,952,464"
68,"43,203,730"
69,"36,980,166"
70,"25,424,553"
71,"33,746,402"
72,"34,506,342"
73,"37,962,031"
74,"32,175,951"
75,"32,004,825"
76,"28,786,512"
77,"25,421,827"
78,"37,533,528"
79,"35,795,433"
80,"36,578,943"
81,"38,965,981"
82,"46,298,990"
83,"33,900,539"
84,"26,089,841"
85,"32,687,506"
86,"32,196,351"
87,"39,293,969"
88,"36,097,434"
89,"38,444,455"
90,"31,980,586"
91,"23,159,160"
92,"34,370,078"
93,"41,751,539"
94,"39,704,652"
95,"41,069,429"
96,"33,591,172"
97,"33,448,102"
98,"34,158,713"
99,"48,886,070"
100,"42,005,561"
101,"48,752,370"
102,"45,396,544"
103,"42,111,064"
104,"42,692,682"
105,"31,757,777"
106,"38,362,537"
107,"49,396,145"
108,"61,546,973"
109,"51,377,665"
110,"52,472,831"
111,"48,789,174"
112,"37,018,970"
113,"40,095,026"
114,"46,842,018"
115,"44,373,966"
116,"44,194,247"
117,"41,429,103"
118,"39,995,688"
119,"30,420,065"
120,"40,484,717"
121,"45,302,338"
122,"40,154,785"
123,"62,576,686"
124,"44,759,092"
125,"47,612,090"
126,"35,290,569"
127,"53,393,178"
128,"57,990,473"
129,"55,696,843"
130,"52,970,660"
131,"50,709,902"
132,"55,520,083"
133,"39,847,479"
134,"39,969,449"
135,"68,146,933"
136,"54,356,021"
137,"59,091,639"
138,"52,191,745"
139,"44,590,520"
140,"37,384,534"
141,"44,693,246"
142,"56,369,861"
143,"47,493,596"
144,"50,220,188"
145,"51,114,612"
146,"46,517,338"
147,"34,567,635"
148,"48,806,587"
149,"48,241,156"
150,"45,314,741"
151,"48,267,928"
152,"52,810,408"
153,"51,276,520"
154,"42,963,685"
155,"51,998,269"
156,"57,592,983"
157,"65,870,127"
158,"66,369,922"
159,"68,298,453"
160,"59,031,385"
161,"44,473,253"
162,"37,658,402"
163,"66,411,701"
164,"63,613,004"
165,"59,884,582"
166,"65,479,994"
167,"66,411,022"
168,"43,319,901"
169,"50,949,316"
170,"54,946,253"
171,"65,210,709"
172,"64,374,245"
173,"60,622,594"
174,"54,723,741"
175,"38,451,273"
176,"47,317,703"
177,"48,006,551"
178,"49,257,025"
179,"48,401,745"
180,"50,709,406"
181,"49,356,083"
182,"33,569,602"
183,"48,351,007"
184,"63,222,806"
185,"57,511,601"
186,"39,384,252"
187,"41,593,889"
188,"53,314,285"
189,"42,972,037"
190,"60,214,742"
191,"52,760,977"
192,"51,900,371"
193,"52,623,751"
194,"47,445,182"
