Date,Trading Volume
2024/1/1,"12,958,877"
2024/1/2,"27,743,041"
2024/1/3,"23,053,108"
2024/1/4,"21,931,539"
2024/1/5,"27,563,658"
2024/1/6,"21,816,487"
2024/1/7,"15,900,712"
2024/1/8,"31,624,876"
2024/1/9,"29,075,072"
2024/1/10,"34,670,333"
2024/1/11,"33,617,491"
2024/1/12,"28,302,219"
2024/1/13,"21,781,595"
2024/1/14,"15,394,394"
2024/1/15,"30,930,106"
2024/1/16,"26,053,916"
2024/1/17,"26,275,696"
2024/1/18,"24,967,128"
2024/1/19,"22,315,364"
2024/1/20,"26,450,433"
2024/1/21,"17,496,648"
2024/1/22,"31,671,530"
2024/1/23,"29,793,314"
2024/1/24,"27,482,263"
2024/1/25,"23,974,392"
2024/1/26,"24,891,823"
2024/1/27,"22,272,615"
2024/1/28,"20,961,213"
2024/1/29,"32,526,601"
2024/1/30,"33,418,316"
2024/1/31,"34,121,401"
2024/2/1,"37,487,174"
2024/2/2,"26,815,783"
2024/2/3,"25,251,972"
2024/2/4,"18,022,595"
2024/2/5,"30,784,889"
2024/2/6,"28,429,449"
2024/2/7,"25,500,138"
2024/2/8,"17,638,408"
2024/2/9,"15,871,072"
2024/2/10,"12,717,789"
2024/2/11,"13,568,243"
2024/2/12,"13,171,137"
2024/2/13,"13,297,840"
2024/2/14,"20,847,081"
2024/2/15,"58,546,344"
2024/2/16,"34,694,455"
2024/2/17,"28,887,502"
2024/2/18,"24,095,800"
2024/2/19,"34,423,050"
2024/2/20,"35,318,015"
2024/2/21,"41,474,937"
2024/2/22,"29,536,406"
2024/2/23,"26,386,460"
2024/2/24,"22,888,311"
2024/2/25,"12,534,900"
2024/2/26,"26,454,202"
2024/2/27,"23,329,655"
2024/2/28,"20,508,696"
2024/2/29,"24,519,736"
2024/3/1,"32,222,154"
2024/3/2,"25,125,494"
2024/3/3,"19,778,803"
2024/3/4,"26,084,261"
2024/3/5,"33,598,780"
2024/3/6,"33,153,867"
2024/3/7,"41,952,464"
2024/3/8,"43,203,730"
2024/3/9,"36,980,166"
2024/3/10,"25,424,553"
2024/3/11,"33,746,402"
2024/3/12,"34,506,342"
2024/3/13,"37,962,031"
2024/3/14,"32,175,951"
2024/3/15,"32,004,825"
2024/3/16,"28,786,512"
2024/3/17,"25,421,827"
2024/3/18,"37,533,528"
2024/3/19,"35,795,433"
2024/3/20,"36,578,943"
2024/3/21,"38,965,981"
2024/3/22,"46,298,990"
2024/3/23,"33,900,539"
2024/3/24,"26,089,841"
2024/3/25,"32,687,506"
2024/3/26,"32,196,351"
2024/3/27,"39,293,969"
2024/3/28,"36,097,434"
2024/3/29,"38,444,455"
2024/3/30,"31,980,586"
2024/3/31,"23,159,160"
2024/4/1,"34,370,078"
2024/4/2,"41,751,539"
2024/4/3,"39,704,652"
2024/4/4,"41,069,429"
2024/4/5,"33,591,172"
2024/4/6,"33,448,102"
2024/4/7,"34,158,713"
2024/4/8,"48,886,070"
2024/4/9,"42,005,561"
2024/4/10,"48,752,370"
2024/4/11,"45,396,544"
2024/4/12,"42,111,064"
2024/4/13,"42,692,682"
2024/4/14,"31,757,777"
2024/4/15,"38,362,537"
2024/4/16,"49,396,145"
2024/4/17,"61,546,973"
2024/4/18,"51,377,665"
2024/4/19,"52,472,831"
2024/4/20,"48,789,174"
2024/4/21,"37,018,970"
2024/4/22,"40,095,026"
2024/4/23,"46,842,018"
2024/4/24,"44,373,966"
2024/4/25,"44,194,247"
2024/4/26,"41,429,103"
2024/4/27,"39,995,688"
2024/4/28,"30,420,065"
2024/4/29,"40,484,717"
2024/4/30,"45,302,338"
2024/5/1,"40,154,785"
2024/5/2,"62,576,686"
2024/5/3,"44,759,092"
2024/5/4,"47,612,090"
2024/5/5,"35,290,569"
2024/5/6,"53,393,178"
2024/5/7,"57,990,473"
2024/5/8,"55,696,843"
2024/5/9,"52,970,660"
2024/5/10,"50,709,902"
2024/5/11,"55,520,083"
2024/5/12,"39,847,479"
2024/5/13,"39,969,449"
2024/5/14,"68,146,933"
2024/5/15,"54,356,021"
2024/5/16,"59,091,639"
2024/5/17,"52,191,745"
2024/5/18,"44,590,520"
2024/5/19,"37,384,534"
2024/5/20,"44,693,246"
2024/5/21,"56,369,861"
2024/5/22,"47,493,596"
2024/5/23,"50,220,188"
2024/5/24,"51,114,612"
2024/5/25,"46,517,338"
2024/5/26,"34,567,635"
2024/5/27,"48,806,587"
2024/5/28,"48,241,156"
2024/5/29,"45,314,741"
2024/5/30,"48,267,928"
2024/5/31,"52,810,408"
2024/6/1,"51,276,520"
2024/6/2,"42,963,685"
2024/6/3,"51,998,269"
2024/6/4,"57,592,983"
2024/6/5,"65,870,127"
2024/6/6,"66,369,922"
2024/6/7,"68,298,453"
2024/6/8,"59,031,385"
2024/6/9,"44,473,253"
2024/6/10,"37,658,402"
2024/6/11,"66,411,701"
2024/6/12,"63,613,004"
2024/6/13,"59,884,582"
2024/6/14,"65,479,994"
2024/6/15,"66,411,022"
2024/6/16,"43,319,901"
2024/6/17,"50,949,316"
2024/6/18,"54,946,253"
2024/6/19,"65,210,709"
2024/6/20,"64,374,245"
2024/6/21,"60,622,594"
2024/6/22,"54,723,741"
2024/6/23,"38,451,273"
2024/6/24,"47,317,703"
2024/6/25,"48,006,551"
2024/6/26,"49,257,025"
2024/6/27,"48,401,745"
2024/6/28,"50,709,406"
2024/6/29,"49,356,083"
2024/6/30,"33,569,602"
2024/7/1,"48,351,007"
2024/7/2,"63,222,806"
2024/7/3,"57,511,601"
2024/7/4,"39,384,252"
2024/7/5,"41,593,889"
